Address,FLAG
0x49c2b0b29edfabee21311e7cff3a0c67da9f035e,1
0x93dc6a333a99c0ede1cd346ccf079ea8451013db,0
0xc3e419177044c9172823f06335d5d82aaf38a5c6,0
0xd43cf9ea0f110c989e6c02810e123ac19d809067,0
0x8f5e2dea54333af9788e9117dddbcbe6bae445f1,0
0xed69ac1cab88cc82ff417131bdc69d93427107b4,0
0x88c4b17734cde1df139fc8f89746b261e78c9172,0
0x34a0216c5057bc18e5d34d4405284564efd759b2,0
0x8d305fd29aebd6e0562de9321d55e7f0e6fbacad,1
0x46ffcdc6d8e6ed69f124d944bbfe0ac74f8fcf7f,0
0x113acf282eeb4d71bec61ad83e934bf75bf8253f,1
0x49358a824c66b64a2f0c8bb3c99dd73586afab16,1
0x918bd2006a751bac8f477a76c8e623f0ee61259b,1
0x0d47d4aea9da60953fd4ae5c47d2165977c7fbea,0
0x56b4f8c39e07d4d5d91692acf9d0f6d4d3493763,0
0x2140ecdc45c89ca112523637824513bae72c8671,0
0x5a9c403ab5750f6d3cf5fe9d6f62377cc4b6fdc3,0
0xf805f3432f4569d6049c60036845959c8e398b15,1
0xff1bafaa5be1b39bcbc1f2c7c3c368421d677b77,0
0x6272e1f61ff349417812b2551c706714c26eb83a,0
0x79b4d12fa63a8d1202b26c5ba6d62136a4a09dda,0
0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,1
0x48599941665827f9ea5a16c3d7417a43a1ce5df4,0
0x581cc257051a34972641d008c3915a75771be274,1
0x5f62b254de3f177263e7e8ea6a613a62fd749067,0
0x0644a6111d472bdfcf4f12e0089ebb3f69d6bda7,0
0x1a7d50b73acf1d2b4073ca5f94890a3c05c01401,0
0xa379bbdd0af814502eb9b38d475c7fa7411bb4ec,1
0x2dcfaac11c9eebd8c6c42103fe9e2a6ad237af27,0
0xa864694cacdf27900afb3c32b1b07aea3c465dde,1
0x35db23f13fcb523d49a06e53092ccdf22f1fd70e,0
0xde09752be6d1a1be52c9220513e61b6af1b6ce38,0
0x0d255d76348d497790761e2f532fd1869cb74ee1,0
0x3db9f293b2e992f8c339a543561a615559c375dd,1
0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf,0
0x3442bf71687874fbe7cb1bf3b166cc9345b46f17,0
0x0af09369369e09218bb14ca66774bdcf81ff61a5,0
0x203daffa152dafaf2a859029f729b364fc8540f8,1
0xa3875f233ecd13daaedd5c7cb25238e6b04b42af,0
